Domain,Concept,Real,Label,Background,Refs,Questions,Entities
Legal,Hyperlink Liability,FALSE,FALSE,,,"['How does the concept of Hyperlink Liability apply to online platforms and websites?', 'Is hyperlinking to defamatory content considered a form of endorsement or publication under the concept of Hyperlink Liability?']","[['Hyperlink Liability', 'online platforms', 'websites'], ['hyperlinking', 'defamatory content', 'endorsement', 'publication', 'concept', 'Hyperlink Liability']]"
Legal,Due Diligence,TRUE,TRUE,"Due diligence is the investigation or exercise of care that a reasonable business or person is normally expected to take before entering into an agreement or contract with another party or an act with a certain standard of care [^1^]. It can be a legal obligation, but the term will more commonly apply to voluntary investigations [^1^]. In the context of business, it refers to the investigation performed by an interested party, including venture capital and private equity firms, into a merger or acquisition target or to vet companies for potential investments [^2^]. Failure to perform adequate due diligence may result in an overvaluation, missed opportunities for synergies and integration difficulties [^2^]. While it may appear that due diligence primarily protects the purchaser, it provides benefits for sellers as well [^2^].","[1]: https://en.wikipedia.org/wiki/Due_diligence ""Due diligence - Wikipedia""
[2]: https://www.netsuite.com/portal/resource/articles/financial-management/due-diligence.shtml ""Due Diligence Explained: Advantages, Types and Processes""
[3]: https://www.wolterskluwer.com/en/expert-insights/the-3-phases-of-legal-due-diligence-for-global-corporate-transactions ""3 Phases of Legal Due Diligence for Global Corporate Transactions ...""
[4]: https://revisionlegal.com/internet-law/issues-in-mergers-and-acquisitions-domain-name-due-diligence/ ""Issues in Mergers and Acquisitions: Domain Name Due Diligence""

Due diligence is the investigation or exercise of care that a reasonable business or person is normally expected to take before entering into an agreement or contract with another party or an act with a certain standard of care [^1^][1]. It can be a legal obligation, but the term will more commonly apply to voluntary investigations [^1^][1]. In the context of business, it refers to the investigation performed by an interested party, including venture capital and private equity firms, into a merger or acquisition target or to vet companies for potential investments [^2^][2]. Failure to perform adequate due diligence may result in an overvaluation, missed opportunities for synergies and integration difficulties [^2^][2]. While it may appear that due diligence primarily protects the purchaser, it provides benefits for sellers as well [^2^][2].
","['How does Due Diligence play a role in the legal domain?', 'What are the key steps involved in conducting Due Diligence in a legal context?', 'Is Due Diligence a mandatory requirement in legal proceedings?']","[['Due Diligence', 'legal domain'], ['Due Diligence', 'legal context'], ['Due Diligence', 'legal proceedings']]"
Legal,Ethical Due Diligence,FALSE,FALSE,,,"['How does Ethical Due Diligence differ from legal due diligence in the context of business transactions?', 'What are some common challenges or obstacles faced when conducting Ethical Due Diligence in a multinational corporation?', 'Is Ethical Due Diligence a mandatory requirement for all companies operating in the legal domain?']","[['Ethical Due Diligence', 'legal due diligence', 'business transactions'], ['Ethical Due Diligence', 'multinational corporation'], ['Ethical Due Diligence', 'legal domain']]"
Legal,Castle Doctrine,TRUE,TRUE,"The Castle Doctrine is a legal doctrine that designates a person's abode or any legally occupied place as a place in which that person has protections and immunities permitting one, in certain circumstances, to use force (up to and including deadly force) to defend oneself against an intruder, free from legal prosecution for the consequences of the force used[^1^]. The term is most commonly used in the United States, though many other countries invoke comparable principles in their laws[^1^]. Depending on the location, a person may have a duty to retreat to avoid violence if one can reasonably do so[^1^]. Castle doctrines lessen the duty to retreat when an individual is assaulted within one's own home[^1^]. The castle doctrine is not a defined law that can be invoked, but a set of principles which may be incorporated in some form in many jurisdictions[^1^].","[1]: https://en.wikipedia.org/wiki/Castle_doctrine ""Castle doctrine - Wikipedia""
[2]: https://www.law.cornell.edu/wex/castle_doctrine ""castle doctrine | Wex | US Law | LII / Legal Information Institute""
[3]: https://legaldictionary.net/castle-doctrine/ ""Castle Doctrine - Definition, Examples, Cases, Processes - Legal Dictionary""
[4]: https://www.thoughtco.com/the-castle-doctrine-721361 ""The 'Castle Doctrine' and 'Stand Your Ground' Laws - ThoughtCo""

The Castle Doctrine is a legal doctrine that designates a person's abode or any legally occupied place as a place in which that person has protections and immunities permitting one, in certain circumstances, to use force (up to and including deadly force) to defend oneself against an intruder, free from legal prosecution for the consequences of the force used[^1^][1]. The term is most commonly used in the United States, though many other countries invoke comparable principles in their laws[^1^][1]. Depending on the location, a person may have a duty to retreat to avoid violence if one can reasonably do so[^1^][1]. Castle doctrines lessen the duty to retreat when an individual is assaulted within one's own home[^1^][1]. The castle doctrine is not a defined law that can be invoked, but a set of principles which may be incorporated in some form in many jurisdictions[^1^][1].
","['How does the Castle Doctrine differ from traditional self-defense laws?', 'What are the key factors that determine whether the Castle Doctrine applies in a specific situation?', 'Is the Castle Doctrine recognized in all states?']","[['Castle Doctrine', 'traditional self-defense laws'], ['Castle Doctrine'], ['Castle Doctrine', 'states']]"
Legal,Yard Doctrine,FALSE,FALSE,,,"['How does the Yard Doctrine apply in cases of trespassing on private property?', 'Can you provide examples of legal cases where the Yard Doctrine has been invoked?', 'Is the Yard Doctrine applicable in all jurisdictions?']","[['Yard Doctrine', 'trespassing', 'private property'], ['Yard Doctrine', 'legal cases'], ['Yard Doctrine', 'jurisdictions']]"
Legal,Precedent,TRUE,TRUE,"Precedent refers to a court decision that is considered as authority for deciding subsequent cases involving identical or similar facts, or similar legal issues[^2^]. Precedent is incorporated into the doctrine of stare decisis and requires courts to apply the law in the same manner to cases with the same facts[^2^]. There are two types of legal precedents: Binding precedent – Precedent that a court must abide by in its adjudication of a case. Persuasive precedent – Precedent that a court may, but is not required to, rely on in deciding a case[^3^]. Legal precedents play an important role in decision-making and aids the judicial officers in referring to similar case laws, ultimately saving time and scrutinizing results[^3^].","[1]: https://bing.com/search?q=Precedent+in+legal+domain ""What is a legal precedent? Definition and case law resources""
[2]: https://www.law.cornell.edu/wex/precedent ""precedent | Wex | US Law | LII / Legal Information Institute""
[3]: https://legal.thomsonreuters.com/blog/what-is-a-legal-precedent-definition-and-case-law-resources/ ""What is a legal precedent? Definition and case law resources""
[4]: https://simple.wikipedia.org/wiki/Legal_precedent ""Legal precedent - Simple English Wikipedia, the free encyclopedia""
[5]: https://en.wikipedia.org/wiki/Precedent ""Precedent - Wikipedia""

Precedent refers to a court decision that is considered as authority for deciding subsequent cases involving identical or similar facts, or similar legal issues[^1^][2]. Precedent is incorporated into the doctrine of stare decisis and requires courts to apply the law in the same manner to cases with the same facts[^1^][2]. There are two types of legal precedents: Binding precedent – Precedent that a court must abide by in its adjudication of a case. Persuasive precedent – Precedent that a court may, but is not required to, rely on in deciding a case[^2^][3]. Legal precedents play an important role in decision-making and aids the judicial officers in referring to similar case laws, ultimately saving time and scrutinizing results[^2^][3].
","['How does the concept of Precedent impact the decision-making process in the legal domain?', 'Can you provide examples of landmark cases that have set important Precedents in the legal system?', 'Is it possible for a court to deviate from Precedent in certain circumstances?']","[['Precedent', 'decision-making process', 'legal domain'], ['landmark cases', 'Precedents', 'legal system'], ['court', 'Precedent']]"
Legal,Algorithmic Precedent,FALSE,FALSE,,,"['How does the use of Algorithmic Precedent impact the decision-making process in the legal domain?', 'What are the potential benefits and drawbacks of relying on Algorithmic Precedent in legal cases?', 'Can Algorithmic Precedent be considered a reliable source of legal guidance?']","[['Algorithmic Precedent', 'legal domain'], ['Algorithmic Precedent', 'legal cases'], ['Algorithmic Precedent', 'legal guidance']]"
Legal,Presumption of Innocence,TRUE,TRUE,"The **Presumption of Innocence** is a legal principle that every person accused of a crime is considered innocent until proven guilty[^1^]. The prosecution must prove its case against the defendant beyond a reasonable doubt[^1^]. This means that the legal burden of proof is on the prosecution, which must present compelling evidence to the trier of fact (a judge or a jury)[^1^]. If the prosecution does not prove the charges true, then the person is acquitted of the charges[^1^]. This principle serves to emphasize that the prosecution has the obligation to prove each element of the offense beyond a reasonable doubt[^1^].","[1]: https://en.wikipedia.org/wiki/Presumption_of_innocence ""Presumption of innocence - Wikipedia""
[2]: https://www.law.cornell.edu/wex/presumption_of_innocence ""presumption of innocence | Wex | US Law - LII / Legal Information Institute""
[3]: https://legal-dictionary.thefreedictionary.com/presumption+of+innocence ""Presumption of Innocence - TheFreeDictionary.com Legal Dictionary""

The **Presumption of Innocence** is a legal principle that every person accused of a crime is considered innocent until proven guilty[^1^][1]. The prosecution must prove its case against the defendant beyond a reasonable doubt[^1^][1]. This means that the legal burden of proof is on the prosecution, which must present compelling evidence to the trier of fact (a judge or a jury)[^1^][1]. If the prosecution does not prove the charges true, then the person is acquitted of the charges[^1^][1]. This principle serves to emphasize that the prosecution has the obligation to prove each element of the offense beyond a reasonable doubt[^1^][1].
","['How does the Presumption of Innocence impact the burden of proof in a criminal trial?', 'What are some potential challenges or criticisms of the Presumption of Innocence in the legal system?', 'Is the Presumption of Innocence a fundamental principle in most legal systems?']","[['Presumption of Innocence', 'burden of proof', 'criminal trial'], ['Presumption of Innocence', 'legal system'], ['Presumption of Innocence', 'legal systems']]"
Legal,Presumption of Third Party,FALSE,FALSE,,,"['How does the Presumption of Third Party work in the legal domain?', 'Can you provide examples of situations where the Presumption of Third Party may be applied?', 'Is the Presumption of Third Party a widely accepted legal principle?']","[['Presumption of Third Party', 'legal domain'], ['Presumption of Third Party'], ['Presumption of Third Party']]"
Legal,Patient Protection and Affordable Care Act,TRUE,TRUE,"The **Patient Protection and Affordable Care Act (ACA)** is a comprehensive health-reform law enacted by former President Barack Obama on March 23, 2010[^1^]. The law contains comprehensive health insurance reforms designed to help achieve near-universal, affordable health coverage[^1^]. The law’s provisions create premium and cost-sharing subsidies, lay new rules for the health insurance industry, and create a new market for health insurance purchasing[^1^]. The law has 3 primary goals: Make affordable health insurance available to more people, expand the Medicaid program to cover all adults with income below 138% of the FPL, and support innovative medical care delivery methods designed to lower the costs of health care generally[^2^]. The ACA sets in motion a wide range of programs that substantially affected the health system in the United States and signify a moderate but important regulatory shift in the role of the federal government in public health[^4^].","[1]: https://www.thebalancemoney.com/what-is-the-patient-protection-and-affordable-care-act-5215153 ""What Is the Patient Protection and Affordable Care Act? - The Balance""
[2]: https://www.hhs.gov/healthcare/about-the-aca/index.html ""About the ACA | HHS.gov""
[3]: https://www.congress.gov/111/plaws/publ148/PLAW-111publ148.pdf ""Public Law 111–148 111th Congress An Act""
[4]: https://pubmed.ncbi.nlm.nih.gov/21871032/ ""The Patient Protection and Affordable Care Act, public health, and the ...""

The **Patient Protection and Affordable Care Act (ACA)** is a comprehensive health-reform law enacted by former President Barack Obama on March 23, 2010[^1^][1]. The law contains comprehensive health insurance reforms designed to help achieve near-universal, affordable health coverage[^1^][1]. The law’s provisions create premium and cost-sharing subsidies, lay new rules for the health insurance industry, and create a new market for health insurance purchasing[^1^][1]. The law has 3 primary goals: Make affordable health insurance available to more people, expand the Medicaid program to cover all adults with income below 138% of the FPL, and support innovative medical care delivery methods designed to lower the costs of health care generally[^2^][2]. The ACA sets in motion a wide range of programs that substantially affected the health system in the United States and signify a moderate but important regulatory shift in the role of the federal government in public health[^3^][4].
","['How has the Patient Protection and Affordable Care Act impacted access to healthcare for low-income individuals?', 'What are the main provisions of the Patient Protection and Affordable Care Act and how do they aim to improve the quality of healthcare in the United States?', 'Is the Patient Protection and Affordable Care Act still in effect?']","[['Patient Protection and Affordable Care Act', 'healthcare', 'low-income individuals'], ['Patient Protection and Affordable Care Act', 'healthcare', 'United States'], ['Patient Protection and Affordable Care Act']]"
Legal,Inflation Reduction Act,TRUE,TRUE,"The Inflation Reduction Act of 2022 (IRA) is a landmark United States federal law which aims to curb inflation by possibly reducing the federal government budget deficit, lowering prescription drug prices, and investing into domestic energy production while promoting clean energy [^4^]. It was signed into law by President Biden on August 16, 2022 [^1^]. The act includes some of the strongest labor protections and incentives ever attached to clean energy tax credit programs [^3^]. It also increases taxes for the largest companies and makes significant drug pricing reforms [^2^]. The act’s $370 billion in investments will lower energy costs for families and small businesses, accelerate private investment in clean energy solutions, strengthen supply chains, and create good-paying jobs and new economic opportunities for workers [^1^].","[1]: https://www.whitehouse.gov/cleanenergy/inflation-reduction-act-guidebook/ ""Inflation Reduction Act Guidebook | Clean Energy - The White House""
[2]: https://www.natlawreview.com/article/what-s-inflation-reduction-act ""Breaking Down the Inflation Reduction Act - National Law Review""
[3]: https://www.whitehouse.gov/briefing-room/statements-releases/2022/08/19/fact-sheet-the-inflation-reduction-act-supports-workers-and-families/ ""FACT SHEET: The Inflation Reduction Act Supports Workers and""
[4]: https://en.wikipedia.org/wiki/Inflation_Reduction_Act ""Inflation Reduction Act - Wikipedia""

The Inflation Reduction Act of 2022 (IRA) is a landmark United States federal law which aims to curb inflation by possibly reducing the federal government budget deficit, lowering prescription drug prices, and investing into domestic energy production while promoting clean energy [^1^][4]. It was signed into law by President Biden on August 16, 2022 [^2^][1]. The act includes some of the strongest labor protections and incentives ever attached to clean energy tax credit programs [^3^][3]. It also increases taxes for the largest companies and makes significant drug pricing reforms [^4^][2]. The act’s $370 billion in investments will lower energy costs for families and small businesses, accelerate private investment in clean energy solutions, strengthen supply chains, and create good-paying jobs and new economic opportunities for workers [^2^][1].
","['How does the Inflation Reduction Act aim to address the issue of rising prices and its impact on the economy?', 'What are the key provisions of the Inflation Reduction Act and how do they contribute to stabilizing the economy?', 'Is the Inflation Reduction Act currently in effect?']","[['Inflation Reduction Act', 'rising prices', 'economy'], ['Inflation Reduction Act', 'economy'], ['Inflation Reduction Act']]"
Legal,Dodd–Frank Wall Street Reform and Consumer Protection Act,TRUE,TRUE,"The Dodd-Frank Wall Street Reform and Consumer Protection Act is a federal law signed by President Obama in 2010 to reform the financial industry and protect consumers and taxpayers after the 2008 global financial crisis[^1^]. The Act contains numerous provisions that affect all federal financial agencies and almost every part of the financial services industry[^1^]. The Act aims to prevent another crisis by creating transparency, accountability, and oversight for Wall Street firms, products, and markets[^1^]. The law places strict regulations on lenders and banks in an effort to protect consumers and prevent another all-out economic recession[^1^]. The Act has been supported by some as a necessary regulation of Wall Street, but criticized by others as a burden on investors and economic growth[^1^].","[1]: https://www.history.com/topics/21st-century/dodd-frank-act ""Dodd-Frank Act - HISTORY""
[2]: https://www.law.cornell.edu/wex/dodd-frank ""Dodd-Frank Act | Wex | US Law | LII / Legal Information Institute""
[3]: https://www.investopedia.com/terms/d/dodd-frank-financial-regulatory-reform-bill.asp ""Dodd-Frank Act: What It Does, Major Components, Criticisms - Investopedia""
[4]: https://www.thebalancemoney.com/dodd-frank-wall-street-reform-act-3305688 ""What Is the Dodd-Frank Wall Street Reform Act? - The Balance""

The Dodd-Frank Wall Street Reform and Consumer Protection Act is a federal law signed by President Obama in 2010 to reform the financial industry and protect consumers and taxpayers after the 2008 global financial crisis[^1^][1]. The Act contains numerous provisions that affect all federal financial agencies and almost every part of the financial services industry[^1^][1]. The Act aims to prevent another crisis by creating transparency, accountability, and oversight for Wall Street firms, products, and markets[^1^][1]. The law places strict regulations on lenders and banks in an effort to protect consumers and prevent another all-out economic recession[^1^][1]. The Act has been supported by some as a necessary regulation of Wall Street, but criticized by others as a burden on investors and economic growth[^1^][1].
",[],[]
